sku,instanceType,vcpu,memory,storage,operatingSystem,marketoption,regionCode
N/A,c6in.4xlarge,16,32 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c7i.large,2,4 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r7i.4xlarge,16,128 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6i.xlarge,4,16 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6in.metal,128,256 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,r6i.32xlarge,128,1024 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6g.12xlarge,48,96 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r7i.8xlarge,32,256 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,gr6.4xlarge,16,128 GiB,1 x 600 GB NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6id.16xlarge,64,256 GiB,2 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r6id.16xlarge,64,512 GiB,2 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m6id.32xlarge,128,512 GiB,4 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m6id.8xlarge,32,128 GiB,1 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,i4i.24xlarge,96,768 GiB,6 x 3750 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,r7g.8xlarge,32,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6in.large,2,4 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,r7i.12xlarge,48,384 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r7g.large,2,16 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,m6id.4xlarge,16,64 GiB,1 x 950 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c6i.large,2,4 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,m6id.large,2,8 GiB,1 x 118 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,i3en.6xlarge,24,192 GiB,2 x 7500 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,i3en.metal,96,768 GiB,8 x 7500 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c6gn.4xlarge,16,32 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,r6i.16xlarge,64,512 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,r7i.metal-48xl,192,1536 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r6id.8xlarge,32,256 GiB,1 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,gr6.4xlarge,16,128 GiB,1 x 600 GB NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,x2idn.32xlarge,128,2048 GiB,2 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,r7g.large,2,16 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
